n_tasks,median_runtime,mad_runtime,mean_runtime,sd_runtime,timestamp,renv_project
1,0.582151,0.5362319571,0.73613013,0.468045364253061,1765643364.99642,snapshot_2025_06_11
10,0.719384,0.6020349342,0.71021369,0.462006244277092,1765643364.99642,snapshot_2025_06_11
100,1.591153,1.7592020103,1.4844089,1.12448134371696,1765643364.99642,snapshot_2025_06_11
1000,8.296374,11.6752355601,9.79990234,11.7517318819645,1765643364.99642,snapshot_2025_06_11
10000,83.898628,123.7504418367,95.41577509,96.5776588820498,1765643364.99642,snapshot_2025_06_11
